contig  chromosome
RXNX01015692	NW_022589997.1
RXNX01015693	NW_022589998.1
RXNX01015694	NW_022589999.1
RXNX01015695	NW_022590000.1
RXNX01015696	NW_022590001.1
RXNX01015697	NW_022590002.1
RXNX01015698	NW_022590003.1
RXNX01015699	NW_022590004.1
RXNX01015700	NW_022590005.1
RXNX01015703	NW_022590007.1
RXNX01015704	NW_022590008.1
RXNX01015705	NW_022590009.1
RXNX01015706	NW_022590010.1
RXNX01015707	NW_022590011.1
RXNX01015708	NW_022590012.1
RXNX01015709	NW_022590013.1
RXNX01015710	NW_022590014.1
RXNX01015711	NW_022590015.1
RXNX01015712	NW_022590016.1
RXNX01015718	NW_022590018.1
RXNX01015719	NW_022590019.1
RXNX01015724	NW_022590022.1
RXNX01015727	NW_022590024.1
RXNX01015728	NW_022590025.1
RXNX01015729	NW_022590026.1
RXNX01015730	NW_022590027.1
RXNX01015731	NW_022590028.1
RXNX01015732	NW_022590029.1
RXNX01015735	NW_022590031.1
RXNX01015736	NW_022590032.1
RXNX01015737	NW_022590033.1
RXNX01015738	NW_022590034.1
RXNX01015739	NW_022590035.1
RXNX01015740	NW_022590036.1
RXNX01015741	NW_022590037.1
RXNX01015742	NW_022590038.1
RXNX01015743	NW_022590039.1
RXNX01015744	NW_022590040.1
RXNX01015747	NW_022590042.1
RXNX01015748	NW_022590043.1
RXNX01015753	NW_022590046.1
RXNX01015754	NW_022590047.1
RXNX01015755	NW_022590048.1
RXNX01015756	NW_022590049.1
RXNX01015757	NW_022590050.1
RXNX01015758	NW_022590051.1
RXNX01015759	NW_022590052.1
RXNX01015760	NW_022590053.1
RXNX01015761	NW_022590054.1
RXNX01015762	NW_022590055.1
RXNX01015763	NW_022590056.1
RXNX01015764	NW_022590057.1
RXNX01015765	NW_022590058.1
RXNX01015768	NW_022590060.1
RXNX01015769	NW_022590061.1
RXNX01015770	NW_022590062.1
RXNX01015771	NW_022590063.1
RXNX01015772	NW_022590064.1
RXNX01015773	NW_022590065.1
RXNX01015779	NW_022590068.1
RXNX01015780	NW_022590069.1
RXNX01015785	NW_022590072.1
RXNX01015788	NW_022590074.1
RXNX01015789	NW_022590075.1
RXNX01015790	NW_022590076.1
RXNX01015791	NW_022590077.1
RXNX01015792	NW_022590078.1
RXNX01015793	NW_022590079.1
RXNX01015794	NW_022590080.1
RXNX01015795	NW_022590081.1
RXNX01015796	NW_022590082.1
RXNX01015797	NW_022590083.1
RXNX01015798	NW_022590084.1
RXNX01015799	NW_022590085.1
RXNX01015800	NW_022590086.1
RXNX01015803	NW_022590088.1
RXNX01015804	NW_022590089.1
RXNX01015805	NW_022590090.1
RXNX01015806	NW_022590091.1
RXNX01015809	NW_022590093.1
RXNX01015810	NW_022590094.1
RXNX01015811	NW_022590095.1
RXNX01015812	NW_022590096.1
RXNX01015815	NW_022590098.1
RXNX01015820	NW_022590101.1
RXNX01015821	NW_022590102.1
RXNX01015822	NW_022590103.1
RXNX01015823	NW_022590104.1
RXNX01015824	NW_022590105.1
RXNX01015825	NW_022590106.1
RXNX01015826	NW_022590107.1
RXNX01015833	NW_022590110.1
RXNX01015834	NW_022590111.1
RXNX01015835	NW_022590112.1
RXNX01015840	NW_022590115.1
RXNX01015841	NW_022590116.1
RXNX01015854	NW_022590122.1
RXNX01015855	NW_022590123.1
RXNX01015856	NW_022590124.1
RXNX01015857	NW_022590125.1
RXNX01015858	NW_022590126.1
RXNX01015859	NW_022590127.1
RXNX01015860	NW_022590128.1
RXNX01015861	NW_022590129.1
RXNX01015864	NW_022590131.1
RXNX01015865	NW_022590132.1
RXNX01015866	NW_022590133.1
RXNX01015867	NW_022590134.1
RXNX01015868	NW_022590135.1
RXNX01015869	NW_022590136.1
RXNX01015870	NW_022590137.1
RXNX01015871	NW_022590138.1
RXNX01015872	NW_022590139.1
RXNX01015873	NW_022590140.1
RXNX01015874	NW_022590141.1
RXNX01015875	NW_022590142.1
RXNX01015876	NW_022590143.1
RXNX01015877	NW_022590144.1
RXNX01015878	NW_022590145.1
RXNX01015879	NW_022590146.1
RXNX01015880	NW_022590147.1
RXNX01015883	NW_022590149.1
RXNX01015884	NW_022590150.1
RXNX01015885	NW_022590151.1
RXNX01015886	NW_022590152.1
RXNX01015887	NW_022590153.1
RXNX01015888	NW_022590154.1
RXNX01015889	NW_022590155.1
RXNX01015890	NW_022590156.1
RXNX01015895	NW_022590159.1
RXNX01015898	NW_022590161.1
RXNX01015899	NW_022590162.1
RXNX01015904	NW_022590165.1
RXNX01015905	NW_022590166.1
RXNX01015908	NW_022590168.1
RXNX01015909	NW_022590169.1
RXNX01015910	NW_022590170.1
RXNX01015911	NW_022590171.1
RXNX01015912	NW_022590172.1
RXNX01015913	NW_022590173.1
RXNX01015914	NW_022590174.1
RXNX01015915	NW_022590175.1
RXNX01015916	NW_022590176.1
RXNX01015917	NW_022590177.1
RXNX01015918	NW_022590178.1
RXNX01015919	NW_022590179.1
RXNX01015920	NW_022590180.1
RXNX01015921	NW_022590181.1
RXNX01015922	NW_022590182.1
RXNX01015923	NW_022590183.1
RXNX01015924	NW_022590184.1
RXNX01015925	NW_022590185.1
RXNX01015926	NW_022590186.1
RXNX01015927	NW_022590187.1
RXNX01015928	NW_022590188.1
RXNX01015929	NW_022590189.1
RXNX01015930	NW_022590190.1
RXNX01015931	NW_022590191.1
RXNX01015932	NW_022590192.1
RXNX01015935	NW_022590194.1
RXNX01015936	NW_022590195.1
RXNX01015939	NW_022590197.1
RXNX01015940	NW_022590198.1
RXNX01015941	NW_022590199.1
RXNX01015942	NW_022590200.1
RXNX01015943	NW_022590201.1
RXNX01015948	NW_022590203.1
RXNX01015953	NW_022590205.1
RXNX01015954	NW_022590206.1
RXNX01015955	NW_022590207.1
RXNX01015958	NW_022590209.1
RXNX01015959	NW_022590210.1
RXNX01015960	NW_022590211.1
RXNX01015961	NW_022590212.1
RXNX01015962	NW_022590213.1
RXNX01015963	NW_022590214.1
RXNX01015964	NW_022590215.1
RXNX01015965	NW_022590216.1
RXNX01015966	NW_022590217.1
RXNX01015967	NW_022590218.1
RXNX01015968	NW_022590219.1
RXNX01015969	NW_022590220.1
RXNX01015972	NW_022590222.1
RXNX01015977	NW_022590225.1
RXNX01015980	NW_022590227.1
RXNX01015981	NW_022590228.1
RXNX01015982	NW_022590229.1
RXNX01015983	NW_022590230.1
RXNX01015984	NW_022590231.1
RXNX01015985	NW_022590232.1
RXNX01015986	NW_022590233.1
RXNX01015989	NW_022590235.1
RXNX01015990	NW_022590236.1
RXNX01015993	NW_022590238.1
RXNX01015994	NW_022590239.1
RXNX01015995	NW_022590240.1
RXNX01015999	NW_022590242.1
RXNX01016000	NW_022590243.1
RXNX01016001	NW_022590244.1
RXNX01016002	NW_022590245.1
RXNX01016003	NW_022590246.1
RXNX01016004	NW_022590247.1
RXNX01016005	NW_022590248.1
RXNX01016006	NW_022590249.1
RXNX01016007	NW_022590250.1
RXNX01016010	NW_022590252.1
RXNX01016011	NW_022590253.1
RXNX01016012	NW_022590254.1
RXNX01016013	NW_022590255.1
RXNX01016014	NW_022590256.1
RXNX01016015	NW_022590257.1
RXNX01016016	NW_022590258.1
RXNX01016017	NW_022590259.1
RXNX01016018	NW_022590260.1
RXNX01016019	NW_022590261.1
RXNX01016020	NW_022590262.1
RXNX01016021	NW_022590263.1
RXNX01016022	NW_022590264.1
RXNX01016029	NW_022590267.1
RXNX01016030	NW_022590268.1
RXNX01016031	NW_022590269.1
RXNX01016034	NW_022590271.1
RXNX01016035	NW_022590272.1
RXNX01016036	NW_022590273.1
RXNX01016037	NW_022590274.1
RXNX01016038	NW_022590275.1
RXNX01016041	NW_022590277.1
RXNX01016042	NW_022590278.1
RXNX01016043	NW_022590279.1
RXNX01016044	NW_022590280.1
RXNX01016045	NW_022590281.1
RXNX01016046	NW_022590282.1
RXNX01016049	NW_022590284.1
RXNX01016052	NW_022590286.1
RXNX01016053	NW_022590287.1
RXNX01016054	NW_022590288.1
RXNX01016055	NW_022590289.1
RXNX01016056	NW_022590290.1
RXNX01016057	NW_022590291.1
RXNX01016058	NW_022590292.1
RXNX01016059	NW_022590293.1
RXNX01016060	NW_022590294.1
RXNX01016061	NW_022590295.1
RXNX01016062	NW_022590296.1
RXNX01016067	NW_022590299.1
RXNX01016068	NW_022590300.1
RXNX01016069	NW_022590301.1
RXNX01016070	NW_022590302.1
RXNX01016071	NW_022590303.1
RXNX01016072	NW_022590304.1
RXNX01016073	NW_022590305.1
RXNX01016074	NW_022590306.1
RXNX01016075	NW_022590307.1
RXNX01016076	NW_022590308.1
RXNX01016077	NW_022590309.1
RXNX01016080	NW_022590311.1
RXNX01016083	NW_022590313.1
RXNX01016084	NW_022590314.1
RXNX01016085	NW_022590315.1
RXNX01016088	NW_022590317.1
RXNX01016091	NW_022590319.1
RXNX01016092	NW_022590320.1
RXNX01016093	NW_022590321.1
RXNX01016094	NW_022590322.1
RXNX01016095	NW_022590323.1
RXNX01016099	NW_022590325.1
RXNX01016100	NW_022590326.1
RXNX01016104	NW_022590328.1
RXNX01016105	NW_022590329.1
RXNX01016109	NW_022590331.1
RXNX01016110	NW_022590332.1
RXNX01016111	NW_022590333.1
RXNX01016112	NW_022590334.1
RXNX01016113	NW_022590335.1
RXNX01016114	NW_022590336.1
RXNX01016119	NW_022590339.1
RXNX01016120	NW_022590340.1
RXNX01016121	NW_022590341.1
RXNX01016122	NW_022590342.1
RXNX01016127	NW_022590345.1
RXNX01016128	NW_022590346.1
RXNX01016129	NW_022590347.1
RXNX01016130	NW_022590348.1
RXNX01016131	NW_022590349.1
RXNX01016132	NW_022590350.1
RXNX01016133	NW_022590351.1
RXNX01016136	NW_022590353.1
RXNX01016137	NW_022590354.1
RXNX01016141	NW_022590356.1
RXNX01016142	NW_022590357.1
RXNX01016143	NW_022590358.1
RXNX01016144	NW_022590359.1
RXNX01016145	NW_022590360.1
RXNX01016146	NW_022590361.1
RXNX01016147	NW_022590362.1
RXNX01016148	NW_022590363.1
RXNX01016149	NW_022590364.1
RXNX01016150	NW_022590365.1
RXNX01016151	NW_022590366.1
RXNX01016154	NW_022590368.1
RXNX01016155	NW_022590369.1
RXNX01016156	NW_022590370.1
RXNX01016157	NW_022590371.1
RXNX01016158	NW_022590372.1
RXNX01016159	NW_022590373.1
RXNX01016160	NW_022590374.1
RXNX01016163	NW_022590376.1
RXNX01016164	NW_022590377.1
RXNX01016165	NW_022590378.1
RXNX01016168	NW_022590380.1
RXNX01016169	NW_022590381.1
RXNX01016170	NW_022590382.1
RXNX01016171	NW_022590383.1
RXNX01016172	NW_022590384.1
RXNX01016173	NW_022590385.1
RXNX01016174	NW_022590386.1
RXNX01016175	NW_022590387.1
RXNX01016176	NW_022590388.1
RXNX01016181	NW_022590391.1
RXNX01016182	NW_022590392.1
RXNX01016183	NW_022590393.1
RXNX01016184	NW_022590394.1
RXNX01016185	NW_022590395.1
RXNX01016186	NW_022590396.1
RXNX01016189	NW_022590398.1
RXNX01016192	NW_022590400.1
RXNX01016193	NW_022590401.1
RXNX01016200	NW_022590405.1
RXNX01016207	NW_022590407.1
RXNX01016211	NW_022590409.1
RXNX01016212	NW_022590410.1
RXNX01016213	NW_022590411.1
RXNX01016216	NW_022590413.1
RXNX01016217	NW_022590414.1
RXNX01016218	NW_022590415.1
RXNX01016219	NW_022590416.1
RXNX01016220	NW_022590417.1
RXNX01016221	NW_022590418.1
RXNX01016222	NW_022590419.1
RXNX01016223	NW_022590420.1
RXNX01016224	NW_022590421.1
RXNX01016225	NW_022590422.1
RXNX01016228	NW_022590424.1
RXNX01016229	NW_022590425.1
RXNX01016230	NW_022590426.1
RXNX01016231	NW_022590427.1
RXNX01016232	NW_022590428.1
RXNX01016233	NW_022590429.1
RXNX01016234	NW_022590430.1
RXNX01016235	NW_022590431.1
RXNX01016236	NW_022590432.1
RXNX01016237	NW_022590433.1
RXNX01016238	NW_022590434.1
RXNX01016239	NW_022590435.1
RXNX01016240	NW_022590436.1
RXNX01016241	NW_022590437.1
RXNX01016242	NW_022590438.1
RXNX01016243	NW_022590439.1
RXNX01016244	NW_022590440.1
RXNX01016247	NW_022590442.1
RXNX01016248	NW_022590443.1
RXNX01016249	NW_022590444.1
RXNX01016250	NW_022590445.1
RXNX01016253	NW_022590447.1
RXNX01016256	NW_022590449.1
RXNX01016257	NW_022590450.1
RXNX01016258	NW_022590451.1
RXNX01016259	NW_022590452.1
RXNX01016260	NW_022590453.1
RXNX01016261	NW_022590454.1
RXNX01016262	NW_022590455.1
RXNX01016263	NW_022590456.1
RXNX01016264	NW_022590457.1
RXNX01016265	NW_022590458.1
RXNX01016266	NW_022590459.1
RXNX01016267	NW_022590460.1
RXNX01016268	NW_022590461.1
RXNX01016269	NW_022590462.1
RXNX01016270	NW_022590463.1
RXNX01016271	NW_022590464.1
RXNX01016272	NW_022590465.1
RXNX01016273	NW_022590466.1
RXNX01016274	NW_022590467.1
RXNX01016275	NW_022590468.1
RXNX01016276	NW_022590469.1
RXNX01016277	NW_022590470.1
RXNX01016278	NW_022590471.1
RXNX01016279	NW_022590472.1
RXNX01016280	NW_022590473.1
RXNX01016281	NW_022590474.1
RXNX01016282	NW_022590475.1
RXNX01016283	NW_022590476.1
RXNX01016284	NW_022590477.1
RXNX01016287	NW_022590479.1
RXNX01016288	NW_022590480.1
RXNX01016289	NW_022590481.1
RXNX01016290	NW_022590482.1
RXNX01016291	NW_022590483.1
RXNX01016296	NW_022590486.1
RXNX01016297	NW_022590487.1
RXNX01016298	NW_022590488.1
RXNX01016303	NW_022590491.1
RXNX01016304	NW_022590492.1
RXNX01016305	NW_022590493.1
RXNX01016306	NW_022590494.1
RXNX01016307	NW_022590495.1
RXNX01016308	NW_022590496.1
RXNX01016309	NW_022590497.1
RXNX01016310	NW_022590498.1
RXNX01016311	NW_022590499.1
RXNX01016312	NW_022590500.1
RXNX01016313	NW_022590501.1
RXNX01016314	NW_022590502.1
RXNX01016315	NW_022590503.1
RXNX01016316	NW_022590504.1
RXNX01016317	NW_022590505.1
RXNX01016318	NW_022590506.1
RXNX01016319	NW_022590507.1
RXNX01016324	NW_022590510.1
RXNX01016325	NW_022590511.1
RXNX01016326	NW_022590512.1
RXNX01016327	NW_022590513.1
RXNX01016328	NW_022590514.1
RXNX01016329	NW_022590515.1
RXNX01016330	NW_022590516.1
RXNX01016331	NW_022590517.1
RXNX01016332	NW_022590518.1
RXNX01016333	NW_022590519.1
RXNX01016334	NW_022590520.1
RXNX01016335	NW_022590521.1
RXNX01016336	NW_022590522.1
RXNX01016337	NW_022590523.1
RXNX01016338	NW_022590524.1
RXNX01016339	NW_022590525.1
RXNX01016340	NW_022590526.1
RXNX01016341	NW_022590527.1
RXNX01016342	NW_022590528.1
RXNX01016343	NW_022590529.1
RXNX01016356	NW_022590534.1
RXNX01016359	NW_022590536.1
RXNX01016360	NW_022590537.1
RXNX01016361	NW_022590538.1
RXNX01016362	NW_022590539.1
RXNX01016363	NW_022590540.1
RXNX01016364	NW_022590541.1
RXNX01016365	NW_022590542.1
RXNX01016366	NW_022590543.1
RXNX01016367	NW_022590544.1
RXNX01016370	NW_022590546.1
RXNX01016371	NW_022590547.1
RXNX01016372	NW_022590548.1
RXNX01016373	NW_022590549.1
RXNX01016374	NW_022590550.1
RXNX01016375	NW_022590551.1
RXNX01016380	NW_022590554.1
RXNX01016381	NW_022590555.1
RXNX01016382	NW_022590556.1
RXNX01016385	NW_022590558.1
RXNX01016386	NW_022590559.1
RXNX01016392	NW_022590562.1
RXNX01016393	NW_022590563.1
RXNX01016394	NW_022590564.1
RXNX01016395	NW_022590565.1
RXNX01016396	NW_022590566.1
RXNX01016397	NW_022590567.1
RXNX01016398	NW_022590568.1
RXNX01016401	NW_022590570.1
RXNX01016402	NW_022590571.1
RXNX01016403	NW_022590572.1
RXNX01016408	NW_022590575.1
RXNX01016409	NW_022590576.1
RXNX01016410	NW_022590577.1
RXNX01016411	NW_022590578.1
RXNX01016412	NW_022590579.1
RXNX01016413	NW_022590580.1
RXNX01016414	NW_022590581.1
RXNX01016415	NW_022590582.1
RXNX01016416	NW_022590583.1
RXNX01016417	NW_022590584.1
RXNX01016418	NW_022590585.1
RXNX01016419	NW_022590586.1
RXNX01016420	NW_022590587.1
RXNX01016421	NW_022590588.1
RXNX01016422	NW_022590589.1
RXNX01016423	NW_022590590.1
RXNX01016424	NW_022590591.1
RXNX01016427	NW_022590593.1
RXNX01016428	NW_022590594.1
RXNX01016429	NW_022590595.1
RXNX01016436	NW_022590599.1
RXNX01016441	NW_022590602.1
RXNX01016442	NW_022590603.1
RXNX01016443	NW_022590604.1
RXNX01016444	NW_022590605.1
RXNX01016445	NW_022590606.1
RXNX01016446	NW_022590607.1
RXNX01016449	NW_022590609.1
RXNX01016450	NW_022590610.1
RXNX01016451	NW_022590611.1
RXNX01016454	NW_022590613.1
RXNX01016455	NW_022590614.1
RXNX01016458	NW_022590616.1
RXNX01016459	NW_022590617.1
RXNX01016462	NW_022590619.1
RXNX01016463	NW_022590620.1
RXNX01016464	NW_022590621.1
RXNX01016465	NW_022590622.1
RXNX01016468	NW_022590624.1
RXNX01016469	NW_022590625.1
RXNX01016470	NW_022590626.1
RXNX01016471	NW_022590627.1
RXNX01016472	NW_022590628.1
RXNX01016473	NW_022590629.1
RXNX01016474	NW_022590630.1
RXNX01016475	NW_022590631.1
RXNX01016476	NW_022590632.1
RXNX01016477	NW_022590633.1
RXNX01016478	NW_022590634.1
RXNX01016479	NW_022590635.1
RXNX01016480	NW_022590636.1
RXNX01016485	NW_022590639.1
RXNX01016486	NW_022590640.1
RXNX01016487	NW_022590641.1
RXNX01016488	NW_022590642.1
RXNX01016489	NW_022590643.1
RXNX01016490	NW_022590644.1
RXNX01016493	NW_022590646.1
RXNX01016494	NW_022590647.1
RXNX01016495	NW_022590648.1
RXNX01016496	NW_022590649.1
RXNX01016497	NW_022590650.1
RXNX01016498	NW_022590651.1
RXNX01016499	NW_022590652.1
RXNX01016500	NW_022590653.1
RXNX01016501	NW_022590654.1
RXNX01016502	NW_022590655.1
RXNX01016503	NW_022590656.1
RXNX01016504	NW_022590657.1
RXNX01016505	NW_022590658.1
RXNX01016506	NW_022590659.1
RXNX01016507	NW_022590660.1
RXNX01016508	NW_022590661.1
RXNX01016509	NW_022590662.1
RXNX01016510	NW_022590663.1
RXNX01016513	NW_022590665.1
RXNX01016514	NW_022590666.1
RXNX01016515	NW_022590667.1
RXNX01016516	NW_022590668.1
RXNX01016517	NW_022590669.1
RXNX01016518	NW_022590670.1
RXNX01016521	NW_022590672.1
RXNX01016527	NW_022590675.1
RXNX01016528	NW_022590676.1
RXNX01016529	NW_022590677.1
RXNX01016532	NW_022590679.1
RXNX01016533	NW_022590680.1
RXNX01016534	NW_022590681.1
RXNX01016535	NW_022590682.1
RXNX01016538	NW_022590684.1
RXNX01016539	NW_022590685.1
RXNX01016540	NW_022590686.1
RXNX01016541	NW_022590687.1
RXNX01016542	NW_022590688.1
RXNX01016543	NW_022590689.1
RXNX01016544	NW_022590690.1
RXNX01016545	NW_022590691.1
RXNX01016550	NW_022590694.1
RXNX01016551	NW_022590695.1
RXNX01016552	NW_022590696.1
RXNX01016553	NW_022590697.1
RXNX01016554	NW_022590698.1
RXNX01016555	NW_022590699.1
RXNX01016556	NW_022590700.1
RXNX01016557	NW_022590701.1
RXNX01016558	NW_022590702.1
RXNX01016561	NW_022590704.1
RXNX01016562	NW_022590705.1
RXNX01016563	NW_022590706.1
RXNX01016564	NW_022590707.1
RXNX01016565	NW_022590708.1
RXNX01016566	NW_022590709.1
RXNX01016567	NW_022590710.1
RXNX01016568	NW_022590711.1
RXNX01016569	NW_022590712.1
RXNX01016570	NW_022590713.1
RXNX01016571	NW_022590714.1
RXNX01016572	NW_022590715.1
RXNX01016573	NW_022590716.1
RXNX01016574	NW_022590717.1
RXNX01016575	NW_022590718.1
RXNX01016576	NW_022590719.1
RXNX01016577	NW_022590720.1
RXNX01016578	NW_022590721.1
RXNX01016579	NW_022590722.1
RXNX01016580	NW_022590723.1
RXNX01016581	NW_022590724.1
RXNX01016582	NW_022590725.1
RXNX01016583	NW_022590726.1
RXNX01016584	NW_022590727.1
RXNX01016585	NW_022590728.1
RXNX01016586	NW_022590729.1
RXNX01016587	NW_022590730.1
RXNX01016588	NW_022590731.1
RXNX01016593	NW_022590734.1
RXNX01016596	NW_022590736.1
RXNX01016597	NW_022590737.1
RXNX01016598	NW_022590738.1
RXNX01016599	NW_022590739.1
RXNX01016600	NW_022590740.1
RXNX01016601	NW_022590741.1
RXNX01016602	NW_022590742.1
RXNX01016603	NW_022590743.1
RXNX01016604	NW_022590744.1
RXNX01016605	NW_022590745.1
RXNX01016606	NW_022590746.1
RXNX01016609	NW_022590748.1
RXNX01016610	NW_022590749.1
RXNX01016615	NW_022590752.1
RXNX01016616	NW_022590753.1
RXNX01016617	NW_022590754.1
RXNX01016618	NW_022590755.1
RXNX01016619	NW_022590756.1
RXNX01016620	NW_022590757.1
RXNX01016621	NW_022590758.1
RXNX01016622	NW_022590759.1
RXNX01016623	NW_022590760.1
RXNX01016624	NW_022590761.1
RXNX01016627	NW_022590763.1
RXNX01016628	NW_022590764.1
RXNX01016629	NW_022590765.1
RXNX01016632	NW_022590767.1
RXNX01016633	NW_022590768.1
RXNX01016634	NW_022590769.1
RXNX01016635	NW_022590770.1
RXNX01016636	NW_022590771.1
RXNX01016637	NW_022590772.1
RXNX01016638	NW_022590773.1
RXNX01016639	NW_022590774.1
RXNX01016642	NW_022590776.1
RXNX01016643	NW_022590777.1
RXNX01016644	NW_022590778.1
RXNX01016645	NW_022590779.1
RXNX01016646	NW_022590780.1
RXNX01016647	NW_022590781.1
RXNX01016648	NW_022590782.1
RXNX01016651	NW_022590784.1
RXNX01016652	NW_022590785.1
RXNX01016657	NW_022590788.1
RXNX01016658	NW_022590789.1
RXNX01016661	NW_022590791.1
RXNX01016662	NW_022590792.1
RXNX01016663	NW_022590793.1
RXNX01016666	NW_022590795.1
RXNX01016669	NW_022590797.1
RXNX01016670	NW_022590798.1
RXNX01016671	NW_022590799.1
RXNX01016672	NW_022590800.1
RXNX01016676	NW_022590802.1
RXNX01016677	NW_022590803.1
RXNX01016678	NW_022590804.1
RXNX01016679	NW_022590805.1
RXNX01016680	NW_022590806.1
RXNX01016681	NW_022590807.1
RXNX01016682	NW_022590808.1
RXNX01016683	NW_022590809.1
RXNX01016684	NW_022590810.1
RXNX01016685	NW_022590811.1
RXNX01016686	NW_022590812.1
RXNX01016687	NW_022590813.1
RXNX01016688	NW_022590814.1
RXNX01016689	NW_022590815.1
RXNX01016690	NW_022590816.1
RXNX01016691	NW_022590817.1
RXNX01016692	NW_022590818.1
RXNX01016693	NW_022590819.1
RXNX01016694	NW_022590820.1
RXNX01016695	NW_022590821.1
RXNX01016696	NW_022590822.1
RXNX01016697	NW_022590823.1
RXNX01016698	NW_022590824.1
RXNX01016701	NW_022590826.1
RXNX01016702	NW_022590827.1
RXNX01016703	NW_022590828.1
RXNX01016704	NW_022590829.1
RXNX01016705	NW_022590830.1
RXNX01016706	NW_022590831.1
RXNX01016707	NW_022590832.1
RXNX01016708	NW_022590833.1
RXNX01016709	NW_022590834.1
RXNX01016710	NW_022590835.1
RXNX01016711	NW_022590836.1
RXNX01016712	NW_022590837.1
RXNX01016713	NW_022590838.1
RXNX01016714	NW_022590839.1
RXNX01016715	NW_022590840.1
RXNX01016716	NW_022590841.1
RXNX01016717	NW_022590842.1
RXNX01016718	NW_022590843.1
RXNX01016719	NW_022590844.1
RXNX01016720	NW_022590845.1
RXNX01016721	NW_022590846.1
RXNX01016722	NW_022590847.1
RXNX01016723	NW_022590848.1
RXNX01016724	NW_022590849.1
RXNX01016725	NW_022590850.1
RXNX01016726	NW_022590851.1
RXNX01016727	NW_022590852.1
RXNX01016728	NW_022590853.1
RXNX01016729	NW_022590854.1
RXNX01016730	NW_022590855.1
RXNX01016731	NW_022590856.1
RXNX01016732	NW_022590857.1
RXNX01016733	NW_022590858.1
RXNX01016736	NW_022590860.1
RXNX01016737	NW_022590861.1
RXNX01016738	NW_022590862.1
RXNX01016741	NW_022590864.1
RXNX01016742	NW_022590865.1
RXNX01016743	NW_022590866.1
RXNX01016744	NW_022590867.1
RXNX01016745	NW_022590868.1
RXNX01016752	NW_022590871.1
RXNX01016753	NW_022590872.1
RXNX01016754	NW_022590873.1
RXNX01016755	NW_022590874.1
RXNX01016756	NW_022590875.1
RXNX01016757	NW_022590876.1
RXNX01016760	NW_022590878.1
RXNX01016761	NW_022590879.1
RXNX01016762	NW_022590880.1
RXNX01016763	NW_022590881.1
RXNX01016764	NW_022590882.1
RXNX01016765	NW_022590883.1
RXNX01016766	NW_022590884.1
RXNX01016769	NW_022590886.1
RXNX01016770	NW_022590887.1
RXNX01016771	NW_022590888.1
RXNX01016772	NW_022590889.1
RXNX01016773	NW_022590890.1
RXNX01016777	NW_022590892.1
RXNX01016778	NW_022590893.1
RXNX01016779	NW_022590894.1
RXNX01016780	NW_022590895.1
RXNX01016781	NW_022590896.1
RXNX01016782	NW_022590897.1
RXNX01016783	NW_022590898.1
RXNX01016784	NW_022590899.1
RXNX01016785	NW_022590900.1
RXNX01016786	NW_022590901.1
RXNX01016787	NW_022590902.1
RXNX01016788	NW_022590903.1
RXNX01016789	NW_022590904.1
RXNX01016790	NW_022590905.1
RXNX01016795	NW_022590908.1
RXNX01016796	NW_022590909.1
RXNX01016797	NW_022590910.1
RXNX01016798	NW_022590911.1
RXNX01016799	NW_022590912.1
RXNX01016800	NW_022590913.1
RXNX01016801	NW_022590914.1
RXNX01016802	NW_022590915.1
RXNX01016803	NW_022590916.1
RXNX01016804	NW_022590917.1
RXNX01016805	NW_022590918.1
RXNX01016806	NW_022590919.1
RXNX01016807	NW_022590920.1
RXNX01016808	NW_022590921.1
RXNX01016809	NW_022590922.1
RXNX01016810	NW_022590923.1
RXNX01016811	NW_022590924.1
RXNX01016812	NW_022590925.1
RXNX01016813	NW_022590926.1
RXNX01016816	NW_022590928.1
RXNX01016817	NW_022590929.1
RXNX01016818	NW_022590930.1
RXNX01016821	NW_022590932.1
RXNX01016822	NW_022590933.1
RXNX01016823	NW_022590934.1
RXNX01016824	NW_022590935.1
RXNX01016825	NW_022590936.1
RXNX01016826	NW_022590937.1
RXNX01016827	NW_022590938.1
RXNX01016828	NW_022590939.1
RXNX01016829	NW_022590940.1
RXNX01016830	NW_022590941.1
RXNX01016831	NW_022590942.1
RXNX01016832	NW_022590943.1
RXNX01016833	NW_022590944.1
RXNX01016834	NW_022590945.1
RXNX01016835	NW_022590946.1
RXNX01016836	NW_022590947.1
RXNX01016837	NW_022590948.1
RXNX01016838	NW_022590949.1
RXNX01016845	NW_022590952.1
RXNX01016846	NW_022590953.1
RXNX01016847	NW_022590954.1
RXNX01016848	NW_022590955.1
RXNX01016849	NW_022590956.1
RXNX01016850	NW_022590957.1
RXNX01016856	NW_022590960.1
RXNX01016857	NW_022590961.1
RXNX01016858	NW_022590962.1
RXNX01016859	NW_022590963.1
RXNX01016860	NW_022590964.1
RXNX01016861	NW_022590965.1
RXNX01016862	NW_022590966.1
RXNX01016863	NW_022590967.1
RXNX01016864	NW_022590968.1
RXNX01016865	NW_022590969.1
RXNX01016866	NW_022590970.1
RXNX01016869	NW_022590972.1
RXNX01016870	NW_022590973.1
RXNX01016871	NW_022590974.1
RXNX01016872	NW_022590975.1
RXNX01016873	NW_022590976.1
RXNX01016874	NW_022590977.1
RXNX01016875	NW_022590978.1
RXNX01016876	NW_022590979.1
RXNX01016877	NW_022590980.1
RXNX01016878	NW_022590981.1
RXNX01016881	NW_022590983.1
RXNX01016882	NW_022590984.1
RXNX01016883	NW_022590985.1
