contig  chromosome
ML169589.1	NW_022590030.1
ML169590.1	NW_022590041.1
ML169591.1	NW_022590044.1
ML169592.1	NW_022590045.1
ML169593.1	NW_022590059.1
ML169594.1	NW_022590066.1
ML169595.1	NW_022590067.1
ML169596.1	NW_022590070.1
ML169597.1	NW_022590071.1
ML169598.1	NW_022590073.1
ML169599.1	NW_022590087.1
ML169600.1	NW_022590092.1
ML169601.1	NW_022590097.1
ML169602.1	NW_022590099.1
ML169603.1	NW_022590100.1
ML169604.1	NW_022590108.1
ML169605.1	NW_022590109.1
ML169606.1	NW_022590113.1
ML169607.1	NW_022590114.1
ML169608.1	NW_022590117.1
ML169609.1	NW_022590118.1
ML169610.1	NW_022590119.1
ML169611.1	NW_022590120.1
ML169612.1	NW_022590121.1
ML169613.1	NW_022590130.1
ML169614.1	NW_022590148.1
ML169615.1	NW_022590157.1
ML169616.1	NW_022590158.1
ML169617.1	NW_022590160.1
ML169618.1	NW_022590163.1
ML169619.1	NW_022590164.1
ML169620.1	NW_022590167.1
ML169621.1	NW_022590193.1
ML169622.1	NW_022590196.1
ML169623.1	NW_022590202.1
ML169624.1	NW_022590204.1
ML169625.1	NW_022590208.1
ML169626.1	NW_022590221.1
ML169627.1	NW_022590223.1
ML169628.1	NW_022590224.1
ML169629.1	NW_022590226.1
ML169630.1	NW_022590234.1
ML169631.1	NW_022590237.1
ML169632.1	NW_022590241.1
ML169633.1	NW_022590251.1
ML169634.1	NW_022590265.1
ML169635.1	NW_022590266.1
ML169636.1	NW_022590270.1
ML169637.1	NW_022590276.1
ML169638.1	NW_022590283.1
ML169639.1	NW_022590285.1
ML169640.1	NW_022590297.1
ML169641.1	NW_022590298.1
ML169642.1	NW_022590310.1
ML169643.1	NW_022590312.1
ML169644.1	NW_022590316.1
ML169645.1	NW_022590318.1
ML169646.1	NW_022590324.1
ML169647.1	NW_022590327.1
ML169648.1	NW_022590330.1
ML169649.1	NW_022590337.1
ML169650.1	NW_022590338.1
ML169651.1	NW_022590343.1
ML169652.1	NW_022590344.1
ML169653.1	NW_022590352.1
ML169654.1	NW_022590355.1
ML169655.1	NW_022590367.1
ML169656.1	NW_022590375.1
ML169657.1	NW_022590379.1
ML169658.1	NW_022590389.1
ML169659.1	NW_022590390.1
ML169660.1	NW_022590397.1
ML169661.1	NW_022590399.1
ML169662.1	NW_022590402.1
ML169663.1	NW_022590403.1
ML169664.1	NW_022590404.1
ML169665.1	NW_022590406.1
ML169666.1	NW_022590408.1
ML169667.1	NW_022590412.1
ML169668.1	NW_022590423.1
ML169669.1	NW_022590441.1
ML169670.1	NW_022590446.1
ML169671.1	NW_022590448.1
ML169672.1	NW_022590478.1
ML169673.1	NW_022590484.1
ML169674.1	NW_022590485.1
ML169675.1	NW_022590489.1
ML169676.1	NW_022590490.1
ML169677.1	NW_022590508.1
ML169678.1	NW_022590509.1
ML169679.1	NW_022590530.1
ML169680.1	NW_022590531.1
ML169681.1	NW_022590532.1
ML169682.1	NW_022590533.1
