"indiv","sample_type","Run","SampleID","Population","Collection_Location","day","month","year","Genotyped_Loci","GTperc","SRY_gt","ZFX_gt","ZFY_gt","SRY","ZFX","ZFY","Sex_gt","Sex_reads","Known_Sex","Estimated_AgeClass"
"18QY0415","feces","Sep2024","Pv18-1396","SPS","Commencement Bay","23","Jul","2018",18,15.52,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18QY0416","feces","Sep2024","Pv18-1397","SPS","Commencement Bay","23","Jul","2018",11,9.48,NA,NA,NA,2,1,1,NA,"Maybe_Male","Unk",""
"18QY0417","feces","Sep2024","Pv18-1398","SPS","Commencement Bay","23","Jul","2018",18,15.52,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18QY0418","feces","Sep2024","Pv18-1399","SPS","Commencement Bay","23","Jul","2018",10,8.62,NA,NA,NA,0,2,0,NA,NA,"Unk",""
"18QY0419","feces","Sep2024","Pv18-1400","SPS","Commencement Bay","23","Jul","2018",28,24.14,"T",NA,NA,7,2,2,"Male","Male","Unk",""
"18QY0420","feces","Sep2024","Pv18-1401","SPS","Commencement Bay","23","Jul","2018",16,13.79,"T",NA,NA,6,0,0,"Male","Male","Unk",""
"18QY0421","feces","Sep2024","Pv18-1402","SPS","Commencement Bay","23","Jul","2018",1,0.86,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18QY0422","feces","Sep2024","Pv18-1403","SPS","Commencement Bay","23","Jul","2018",20,17.24,"T",NA,NA,4,1,0,"Male","Male","Unk",""
"18QY0423","feces","Sep2024","Pv18-1404","SPS","Commencement Bay","23","Jul","2018",26,22.41,"T",NA,NA,8,0,1,"Male","Male","Unk",""
"18QY0424","feces","Sep2024","Pv18-1405","SPS","Commencement Bay","23","Jul","2018",25,21.55,"T",NA,NA,6,1,0,"Male","Male","Unk",""
"18QY0425","feces","Sep2024","Pv18-1406","SPS","Commencement Bay","23","Jul","2018",4,3.45,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"18QY0426","feces","Sep2024","Pv18-1407","SPS","Commencement Bay","23","Jul","2018",3,2.59,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18QY0427","feces","Sep2024","Pv18-1408","SPS","Commencement Bay","23","Jul","2018",70,60.34,"T","G",NA,3,3,0,"Male","Male","Unk",""
"18QY0428","feces","Sep2024","Pv18-1409","SPS","Commencement Bay","23","Jul","2018",7,6.03,NA,NA,NA,2,0,1,NA,"Maybe_Male","Unk",""
"18QY0429","feces","Sep2024","Pv18-1410","SPS","Commencement Bay","23","Jul","2018",9,7.76,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18QY0430","feces","Sep2024","Pv18-1411","SPS","Commencement Bay","23","Jul","2018",12,10.34,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18QY0431","feces","Sep2024","Pv18-1412","SPS","Commencement Bay","23","Jul","2018",10,8.62,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18QY0432","feces","Sep2024","Pv18-1413","SPS","Commencement Bay","23","Jul","2018",6,5.17,NA,NA,NA,1,0,1,NA,NA,"Unk",""
"18QY0433","feces","Sep2024","Pv18-1414","SPS","Commencement Bay","23","Jul","2018",7,6.03,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18QY0434","feces","Sep2024","Pv18-1415","SPS","Commencement Bay","23","Jul","2018",3,2.59,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18QY0435","feces","Sep2024","Pv18-1416","SPS","Commencement Bay","23","Jul","2018",20,17.24,"T",NA,NA,6,0,0,"Male","Male","Unk",""
"18QY0436","feces","Sep2024","Pv18-1417","SPS","Commencement Bay","23","Jul","2018",72,62.07,"T","G",NA,24,5,0,"Male","Male","Unk",""
"18QY0437","feces","Sep2024","Pv18-1418","SPS","Commencement Bay","23","Jul","2018",8,6.9,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18QY0438","feces","Sep2024","Pv18-1419","SPS","Commencement Bay","23","Jul","2018",5,4.31,NA,NA,NA,1,1,1,NA,NA,"Unk",""
"18QY0439","feces","Sep2024","Pv18-1420","SPS","Commencement Bay","23","Jul","2018",6,5.17,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18QY0440","feces","Sep2024","Pv18-1421","SPS","Commencement Bay","23","Jul","2018",9,7.76,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18QY0441","feces","Sep2024","Pv18-1422","SPS","Commencement Bay","23","Jul","2018",10,8.62,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18QY0442","feces","Sep2024","Pv18-1423","SPS","Commencement Bay","23","Jul","2018",5,4.31,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18QY0443","feces","Sep2024","Pv18-1424","SPS","Commencement Bay","23","Jul","2018",2,1.72,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18QY0444","feces","Sep2024","Pv18-1425","SPS","Commencement Bay","23","Jul","2018",8,6.9,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18QY0445","feces","Sep2024","Pv18-1426","SPS","Commencement Bay","23","Jul","2018",56,48.28,"T",NA,NA,12,1,0,"Male","Male","Unk",""
"18QY0446","feces","Sep2024","Pv18-1427","SPS","Commencement Bay","23","Jul","2018",18,15.52,"T",NA,NA,9,0,0,"Male","Male","Unk",""
"18QY0447","feces","Sep2024","Pv18-1428","SPS","Commencement Bay","23","Jul","2018",18,15.52,"T",NA,NA,4,0,0,"Male","Male","Unk",""
"18QY0448","feces","Sep2024","Pv18-1429","SPS","Commencement Bay","23","Jul","2018",15,12.93,"T",NA,NA,5,0,2,"Male","Male","Unk",""
"18QY0449","feces","Sep2024","Pv18-1430","SPS","Commencement Bay","23","Jul","2018",8,6.9,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18QY0450","feces","Sep2024","Pv18-1431","SPS","Commencement Bay","23","Jul","2018",16,13.79,"T",NA,NA,11,0,0,"Male","Male","Unk",""
"18QY0451","feces","Sep2024","Pv18-1432","SPS","Commencement Bay","23","Jul","2018",12,10.34,"T",NA,NA,9,0,0,"Male","Male","Unk",""
"18QY0452","feces","Sep2024","Pv18-1433","SPS","Commencement Bay","23","Jul","2018",44,37.93,"T",NA,NA,6,2,0,"Male","Male","Unk",""
"18QY0453","feces","Sep2024","Pv18-1434","SPS","Commencement Bay","23","Jul","2018",6,5.17,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18QY0454","feces","Sep2024","Pv18-1435","SPS","Commencement Bay","23","Jul","2018",5,4.31,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"18QY0455","feces","Sep2024","Pv18-1436","SPS","Commencement Bay","23","Jul","2018",6,5.17,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18QY0456","feces","Sep2024","Pv18-1437","SPS","Commencement Bay","23","Jul","2018",13,11.21,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"18QY0457","feces","Sep2024","Pv18-1438","SPS","Commencement Bay","23","Jul","2018",7,6.03,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18QY0458","feces","Sep2024","Pv18-1439","SPS","Commencement Bay","23","Jul","2018",10,8.62,"T",NA,NA,4,0,0,"Male","Male","Unk",""
"18QY0459","feces","Sep2024","Pv18-1440","SPS","Commencement Bay","23","Jul","2018",1,0.86,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18QY0460","feces","Sep2024","Pv18-1441","SPS","Commencement Bay","23","Jul","2018",26,22.41,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"NC1","negcontrol","Sep2024","NC_6_19_23","NTC","","","","",25,21.55,NA,"G",NA,1,3,0,"Female","Female","",""
"NC2","negcontrol","Sep2024","NC_8_31_23","NTC","","","","",31,26.72,"T",NA,NA,7,0,0,"Male","Male","",""
"NC3","reference","Sep2024","WDFW2018-098","OuterCoast","Seabrook","1","7","2018",112,96.55,"T","G","A",2912,311,364,"Male","Male","Male","WP"
"NC4","negcontrol","Sep2024","NC_8_29_23","NTC","","","","",36,31.03,NA,"G",NA,2,3,0,"Female","Maybe_Male","",""
"NC5","negcontrol","Sep2024","NC_11_10_23","NTC","","","","",31,26.72,NA,"G",NA,0,4,0,"Female","Female","",""
"NC6","negcontrol","Sep2024","NC_11_11_23","NTC","","","","",24,20.69,NA,NA,NA,0,0,0,NA,NA,"",""
"NC7","negcontrol","Sep2024","NC_3_2_24","NTC","","","","",27,23.28,NA,NA,NA,2,1,0,NA,"Maybe_Male","",""
"NC8","negcontrol","Sep2024","NC_7_26_24","NTC","","","","",32,27.59,"T","G",NA,4,3,0,"Male","Male","",""
"NC9","negcontrol","Sep2024",NA,NA,NA,NA,NA,NA,30,25.86,"T",NA,NA,4,0,0,"Male","Male",NA,NA
"NTC_Hse.0001","negcontrol","Sep2024",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NTC_Hse.0002","negcontrol","Sep2024",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NTC_Hse.0003","negcontrol","Sep2024",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NTC_Hse.0004","negcontrol","Sep2024",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NTC_Hse.0005","negcontrol","Sep2024",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NTC_Hse.0006","negcontrol","Sep2024",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NTC_Hse.0007","negcontrol","Sep2024",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NTC_SPID.0185","negcontrol","Sep2024",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NTC_SPID.0187+86","negcontrol","Sep2024",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NTC_WWU.0001","negcontrol","Sep2024",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NTC_WWU.0002","negcontrol","Sep2024",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NTC_WWU.0003","negcontrol","Sep2024",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pv18-0575","feces","Sep2024","Pv18-0575","SPS","Commencement Bay","20","Apr","2018",17,14.66,"T",NA,NA,6,0,1,"Male","Male","Unk",""
"Pv18-0576","feces","Sep2024","Pv18-0576","SPS","Commencement Bay","20","Apr","2018",26,22.41,"T",NA,NA,6,1,0,"Male","Male","Unk",""
"Pv18-0577","feces","Sep2024","Pv18-0577","SPS","Commencement Bay","20","Apr","2018",29,25,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"Pv18-0578","feces","Sep2024","Pv18-0578","SPS","Commencement Bay","20","Apr","2018",32,27.59,"T",NA,NA,4,1,0,"Male","Male","Unk",""
"Pv18-0579","feces","Sep2024","Pv18-0579","SPS","Commencement Bay","20","Apr","2018",107,92.24,"T","G","A",189,5,4,"Male","Male","Unk",""
"PV18-0580","feces","Sep2024","Pv18-0580","SPS","Commencement Bay","20","Apr","2018",11,9.48,"T",NA,NA,5,0,0,"Male","Male","Unk",""
"PV18-0581","feces","Sep2024","Pv18-0581","SPS","Commencement Bay","20","Apr","2018",6,5.17,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"PV18-0582","feces","Sep2024","Pv18-0582","SPS","Commencement Bay","20","Apr","2018",39,33.62,"T",NA,NA,14,0,0,"Male","Male","Unk",""
"PV18-0583","feces","Sep2024","Pv18-0583","SPS","Commencement Bay","20","Apr","2018",29,25,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"PV18-0584","feces","Sep2024","Pv18-0584","SPS","Commencement Bay","20","Apr","2018",8,6.9,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"PV18-0588","feces","Sep2024","Pv18-0588","SPS","Commencement Bay","20","Apr","2018",8,6.9,"T",NA,NA,5,0,0,"Male","Male","Unk",""
"PV18-0590","feces","Sep2024","Pv18-0590","SPS","Commencement Bay","20","Apr","2018",2,1.72,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"PV18-0595","feces","Sep2024","Pv18-0595","SPS","Commencement Bay","20","Apr","2018",43,37.07,"T",NA,NA,9,0,0,"Male","Male","Unk",""
"PV18-0597","feces","Sep2024","Pv18-0597","SPS","Commencement Bay","20","Apr","2018",40,34.48,"T",NA,NA,7,1,0,"Male","Male","Unk",""
"PV18-0600","feces","Sep2024","Pv18-0600","SPS","Commencement Bay","20","Apr","2018",91,78.45,"T","G","A",46,8,3,"Male","Male","Unk",""
"PV18-0602","feces","Sep2024","Pv18-0602","SPS","Commencement Bay","20","Apr","2018",19,16.38,"T",NA,NA,3,1,0,"Male","Male","Unk",""
"PV18-0607","feces","Sep2024","Pv18-0607","SPS","Commencement Bay","20","Apr","2018",19,16.38,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"PV18-0608","feces","Sep2024","Pv18-0608","SPS","Commencement Bay","20","Apr","2018",48,41.38,"T",NA,NA,24,0,0,"Male","Male","Unk",""
"PV18-0609","feces","Sep2024","Pv18-0609","SPS","Commencement Bay","20","Apr","2018",40,34.48,"T",NA,NA,6,0,2,"Male","Male","Unk",""
"PV18-0611","feces","Sep2024","Pv18-0611","SPS","Commencement Bay","20","Apr","2018",13,11.21,"T",NA,NA,7,0,0,"Male","Male","Unk",""
"PV18-0614","feces","Sep2024","Pv18-0614","SPS","Commencement Bay","20","Apr","2018",10,8.62,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"PV18-0616","feces","Sep2024","Pv18-0616","SPS","Commencement Bay","6","Apr","2018",34,29.31,"T",NA,NA,16,0,1,"Male","Male","Unk",""
"Pv18-0617","feces","Sep2024","Pv18-0617","SPS","Commencement Bay","6","Apr","2018",103,88.79,"T",NA,"A",90,2,10,"Male","Male","Unk",""
"Pv18-0618","feces","Sep2024","Pv18-0618","SPS","Commencement Bay","6","Apr","2018",33,28.45,NA,"G",NA,1,3,0,"Female","Female","Unk",""
"Pv18-0619","feces","Sep2024","Pv18-0619","SPS","Commencement Bay","6","Apr","2018",66,56.9,"T",NA,NA,30,1,2,"Male","Male","Unk",""
"Pv18-0620","feces","Sep2024","Pv18-0620","SPS","Commencement Bay","6","Apr","2018",16,13.79,"T",NA,NA,3,2,0,"Male","Male","Unk",""
"Pv18-0621","feces","Sep2024","Pv18-0621","SPS","Commencement Bay","6","Apr","2018",6,5.17,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"Pv18-0622","feces","Sep2024","Pv18-0622","SPS","Commencement Bay","6","Apr","2018",101,87.07,"T","G","A",86,5,10,"Male","Male","Unk",""
"Pv18-0623","feces","Sep2024","Pv18-0623","SPS","Commencement Bay","6","Apr","2018",11,9.48,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"Pv18-0624","feces","Sep2024","Pv18-0624","SPS","Commencement Bay","6","Apr","2018",64,55.17,"T",NA,NA,22,2,2,"Male","Male","Unk",""
"Pv18-0625","feces","Sep2024","Pv18-0625","SPS","Commencement Bay","6","Apr","2018",84,72.41,"T","G",NA,30,3,0,"Male","Male","Unk",""
"Pv18-0626","feces","Sep2024","Pv18-0626","SPS","Commencement Bay","6","Apr","2018",83,71.55,"T","G","A",24,3,3,"Male","Male","Unk",""
"Pv18-0627","feces","Sep2024","Pv18-0627","SPS","Commencement Bay","6","Apr","2018",0,0,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"Pv18-0628","feces","Sep2024","Pv18-0628","SPS","Commencement Bay","6","Apr","2018",5,4.31,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"Pv18-0629","feces","Sep2024","Pv18-0629","SPS","Commencement Bay","6","Apr","2018",11,9.48,"T",NA,NA,3,1,0,"Male","Male","Unk",""
"Pv18-0630","feces","Sep2024","Pv18-0630","SPS","Commencement Bay","6","Apr","2018",50,43.1,"T","G",NA,11,3,1,"Male","Male","Unk",""
"Pv18-0631","feces","Sep2024","Pv18-0631","SPS","Commencement Bay","6","Apr","2018",14,12.07,NA,NA,NA,2,0,1,NA,"Maybe_Male","Unk",""
"Pv18-0632","feces","Sep2024","Pv18-0632","SPS","Commencement Bay","6","Apr","2018",19,16.38,"T",NA,NA,7,0,0,"Male","Male","Unk",""
"Pv18-0633","feces","Sep2024","Pv18-0633","SPS","Commencement Bay","6","Apr","2018",81,69.83,"T",NA,NA,34,2,0,"Male","Male","Unk",""
"Pv18-0634","feces","Sep2024","Pv18-0634","SPS","Commencement Bay","6","Apr","2018",27,23.28,"T",NA,NA,6,1,1,"Male","Male","Unk",""
"Pv18-0635","feces","Sep2024","Pv18-0635","SPS","Commencement Bay","6","Apr","2018",65,56.03,"T",NA,NA,19,0,1,"Male","Male","Unk",""
"Pv18-0636","feces","Sep2024","Pv18-0636","SPS","Commencement Bay","6","Apr","2018",60,51.72,"T",NA,NA,26,1,2,"Male","Male","Unk",""
"Pv18-0637","feces","Sep2024","Pv18-0637","SPS","Commencement Bay","6","Apr","2018",32,27.59,"T",NA,NA,9,2,0,"Male","Male","Unk",""
"Pv18-0638","feces","Sep2024","Pv18-0638","SPS","Commencement Bay","6","Apr","2018",83,71.55,"T","G",NA,6,3,0,"Male","Male","Unk",""
"Pv18-0639","feces","Sep2024","Pv18-0639","SPS","Commencement Bay","6","Apr","2018",31,26.72,"T",NA,NA,12,0,1,"Male","Male","Unk",""
"Pv18-0640","feces","Sep2024","Pv18-0640","SPS","Commencement Bay","6","Apr","2018",20,17.24,NA,"G",NA,0,3,0,"Female","Female","Unk",""
"Pv18-0642","feces","Sep2024","Pv18-0642","SPS","Commencement Bay","6","Apr","2018",25,21.55,"T",NA,NA,5,0,0,"Male","Male","Unk",""
"Pv18-0643","feces","Sep2024","Pv18-0643","SPS","Commencement Bay","6","Apr","2018",12,10.34,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"Pv18-0644","feces","Sep2024","Pv18-0644","SPS","Commencement Bay","6","Apr","2018",75,64.66,"T","G","A",17,3,4,"Male","Male","Unk",""
"Pv18-0645","feces","Sep2024","Pv18-0645","SPS","Commencement Bay","6","Apr","2018",73,62.93,"T",NA,NA,25,1,1,"Male","Male","Unk",""
"Pv18-0646","feces","Sep2024","Pv18-0646","SPS","Commencement Bay","6","Apr","2018",39,33.62,"T","G",NA,5,4,1,"Male","Male","Unk",""
"Pv18-0647","feces","Sep2024","Pv18-0647","SPS","Commencement Bay","6","Apr","2018",102,87.93,NA,"G",NA,0,25,0,"Female","Female","Unk",""
"Pv18-0648","feces","Sep2024","Pv18-0648","SPS","Commencement Bay","6","Apr","2018",7,6.03,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"Pv18-0649","feces","Sep2024","Pv18-0649","SPS","Commencement Bay","6","Apr","2018",12,10.34,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"Pv18-0650","feces","Sep2024","Pv18-0650","SPS","Commencement Bay","6","Apr","2018",53,45.69,"T",NA,NA,6,0,2,"Male","Male","Unk",""
"Pv18-0651","feces","Sep2024","Pv18-0651","SPS","Commencement Bay","6","Apr","2018",34,29.31,"T",NA,NA,8,2,0,"Male","Male","Unk",""
"Pv18-0652","feces","Sep2024","Pv18-0652","SPS","Commencement Bay","6","Apr","2018",44,37.93,"T",NA,NA,13,0,0,"Male","Male","Unk",""
