"indiv","sample_type","Run","SampleID","Population","Collection_Location","day","month","year","Genotyped_Loci","GTperc","SRY_gt","ZFX_gt","ZFY_gt","SRY","ZFX","ZFY","Sex_gt","Sex_reads","Known_Sex","Estimated_AgeClass"
"18OO0001","feces","Sep2024","Pv18-0013","SPS","Commencement Bay","26","Apr","2018",23,19.83,"T",NA,NA,5,0,0,"Male","Male","Unk",""
"18OO0002","feces","Sep2024","Pv18-0014","SPS","Commencement Bay","26","Apr","2018",107,92.24,"T","G","A",476,35,32,"Male","Male","Unk",""
"18OO0003","feces","Sep2024","Pv18-0015","SPS","Commencement Bay","26","Apr","2018",2,1.72,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0004","feces","Sep2024","Pv18-0016","SPS","Commencement Bay","26","Apr","2018",17,14.66,"T",NA,NA,6,0,0,"Male","Male","Unk",""
"18OO0005","feces","Sep2024","Pv18-0017","SPS","Commencement Bay","26","Apr","2018",14,12.07,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0006","feces","Sep2024","Pv18-0018","SPS","Commencement Bay","26","Apr","2018",23,19.83,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0007","feces","Sep2024","Pv18-0019","SPS","Commencement Bay","26","Apr","2018",67,57.76,NA,"G",NA,0,7,0,"Female","Female","Unk",""
"18OO0008","feces","Sep2024","Pv18-0020","SPS","Commencement Bay","26","Apr","2018",3,2.59,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0009","feces","Sep2024","Pv18-0021","SPS","Commencement Bay","26","Apr","2018",13,11.21,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"18OO0010","feces","Sep2024","Pv18-0022","SPS","Commencement Bay","26","Apr","2018",5,4.31,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0011","feces","Sep2024","Pv18-0023","SPS","Commencement Bay","26","Apr","2018",80,68.97,"T",NA,NA,24,1,2,"Male","Male","Unk",""
"18OO0012","feces","Sep2024","Pv18-0024","SPS","Commencement Bay","26","Apr","2018",26,22.41,NA,NA,NA,0,1,2,NA,"Maybe_Male","Unk",""
"18OO0013","feces","Sep2024","Pv18-0025","SPS","Commencement Bay","26","Apr","2018",12,10.34,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18OO0014","feces","Sep2024","Pv18-0026","SPS","Commencement Bay","26","Apr","2018",31,26.72,"T","G",NA,6,3,0,"Male","Male","Unk",""
"18OO0015","feces","Sep2024","Pv18-0027","SPS","Commencement Bay","26","Apr","2018",102,87.93,"T","G","A",137,8,6,"Male","Male","Unk",""
"18OO0016","feces","Sep2024","Pv18-0028","SPS","Commencement Bay","26","Apr","2018",9,7.76,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0017","feces","Sep2024","Pv18-0029","SPS","Commencement Bay","26","Apr","2018",7,6.03,"T",NA,NA,5,0,2,"Male","Male","Unk",""
"18OO0018","feces","Sep2024","Pv18-0030","SPS","Commencement Bay","26","Apr","2018",6,5.17,"T",NA,NA,4,1,0,"Male","Male","Unk",""
"18OO0019","feces","Sep2024","Pv18-0031","SPS","Commencement Bay","26","Apr","2018",20,17.24,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0020","feces","Sep2024","Pv18-0032","SPS","Commencement Bay","26","Apr","2018",105,90.52,"T","G","A",154,10,10,"Male","Male","Unk",""
"18OO0021","feces","Sep2024","Pv18-0033","SPS","Commencement Bay","26","Apr","2018",2,1.72,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0022","feces","Sep2024","Pv18-0034","SPS","Commencement Bay","26","Apr","2018",2,1.72,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0023","feces","Sep2024","Pv18-0035","SPS","Commencement Bay","26","Apr","2018",3,2.59,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18OO0024","feces","Sep2024","Pv18-0036","SPS","Commencement Bay","26","Apr","2018",85,73.28,"T","G","A",62,8,13,"Male","Male","Unk",""
"18OO0025","feces","Sep2024","Pv18-0037","SPS","Commencement Bay","26","Apr","2018",7,6.03,"T",NA,NA,5,1,0,"Male","Male","Unk",""
"18OO0026","feces","Sep2024","Pv18-0038","SPS","Commencement Bay","26","Apr","2018",99,85.34,"T","G","A",99,4,5,"Male","Male","Unk",""
"18OO0044","feces","Sep2024","Pv18-0056","SPS","Commencement Bay","7","May","2018",4,3.45,"T",NA,NA,3,1,1,"Male","Male","Unk",""
"18OO0045","feces","Sep2024","Pv18-0057","SPS","Commencement Bay","7","May","2018",10,8.62,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0046","feces","Sep2024","Pv18-0058","SPS","Commencement Bay","7","May","2018",8,6.9,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18OO0047","feces","Sep2024","Pv18-0059","SPS","Commencement Bay","7","May","2018",4,3.45,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0048","feces","Sep2024","Pv18-0060","SPS","Commencement Bay","7","May","2018",10,8.62,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0049","feces","Sep2024","Pv18-0061","SPS","Commencement Bay","7","May","2018",2,1.72,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0050","feces","Sep2024","Pv18-0062","SPS","Commencement Bay","7","May","2018",14,12.07,NA,NA,NA,2,1,0,NA,"Maybe_Male","Unk",""
"18OO0051","feces","Sep2024","Pv18-0063","SPS","Commencement Bay","7","May","2018",3,2.59,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0052","feces","Sep2024","Pv18-0064","SPS","Commencement Bay","7","May","2018",5,4.31,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0053","feces","Sep2024","Pv18-0065","SPS","Commencement Bay","7","May","2018",6,5.17,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0054","feces","Sep2024","Pv18-0066","SPS","Commencement Bay","7","May","2018",9,7.76,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0055","feces","Sep2024","Pv18-0067","SPS","Commencement Bay","7","May","2018",5,4.31,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0056","feces","Sep2024","Pv18-0068","SPS","Commencement Bay","7","May","2018",6,5.17,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0057","feces","Sep2024","Pv18-0069","SPS","Commencement Bay","7","May","2018",7,6.03,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"18OO0058","feces","Sep2024","Pv18-0070","SPS","Commencement Bay","7","May","2018",7,6.03,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0059","feces","Sep2024","Pv18-0071","SPS","Commencement Bay","7","May","2018",7,6.03,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0060","feces","Sep2024","Pv18-0072","SPS","Commencement Bay","7","May","2018",8,6.9,"T",NA,NA,3,0,1,"Male","Male","Unk",""
"18OO0061","feces","Sep2024","Pv18-0073","SPS","Commencement Bay","7","May","2018",12,10.34,NA,NA,NA,1,0,1,NA,NA,"Unk",""
"18OO0062","feces","Sep2024","Pv18-0074","SPS","Commencement Bay","7","May","2018",3,2.59,"T",NA,NA,6,0,1,"Male","Male","Unk",""
"18OO0063","feces","Sep2024","Pv18-0075","SPS","Commencement Bay","7","May","2018",0,0,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0064","feces","Sep2024","Pv18-0076","SPS","Commencement Bay","7","May","2018",10,8.62,"T",NA,NA,5,0,0,"Male","Male","Unk",""
"18OO0065","feces","Sep2024","Pv18-0077","SPS","Commencement Bay","7","May","2018",4,3.45,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0066","feces","Sep2024","Pv18-0078","SPS","Commencement Bay","7","May","2018",7,6.03,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18OO0067","feces","Sep2024","Pv18-0079","SPS","Commencement Bay","7","May","2018",1,0.86,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0068","feces","Sep2024","Pv18-0080","SPS","Commencement Bay","7","May","2018",6,5.17,NA,NA,NA,0,2,0,NA,NA,"Unk",""
"18OO0069","feces","Sep2024","Pv18-0081","SPS","Commencement Bay","7","May","2018",8,6.9,NA,NA,NA,0,1,1,NA,NA,"Unk",""
"18OO0070","feces","Sep2024","Pv18-0082","SPS","Commencement Bay","7","May","2018",15,12.93,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0071","feces","Sep2024","Pv18-0083","SPS","Commencement Bay","7","May","2018",5,4.31,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0072","feces","Sep2024","Pv18-0084","SPS","Commencement Bay","7","May","2018",14,12.07,"T",NA,NA,9,0,0,"Male","Male","Unk",""
"18OO0073","feces","Sep2024","Pv18-0085","SPS","Commencement Bay","7","May","2018",2,1.72,NA,NA,NA,2,1,0,NA,"Maybe_Male","Unk",""
"18OO0074","feces","Sep2024","Pv18-0086","SPS","Commencement Bay","7","May","2018",7,6.03,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0075","feces","Sep2024","Pv18-0087","SPS","Commencement Bay","7","May","2018",10,8.62,"T",NA,NA,6,0,0,"Male","Male","Unk",""
"18OO0076","feces","Sep2024","Pv18-0088","SPS","Commencement Bay","7","May","2018",2,1.72,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0077","feces","Sep2024","Pv18-0089","SPS","Commencement Bay","7","May","2018",4,3.45,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0078","feces","Sep2024","Pv18-0090","SPS","Commencement Bay","7","May","2018",8,6.9,"T",NA,NA,4,0,1,"Male","Male","Unk",""
"18OO0079","feces","Sep2024","Pv18-0091","SPS","Commencement Bay","7","May","2018",8,6.9,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"18OO0080","feces","Sep2024","Pv18-0092","SPS","Commencement Bay","7","May","2018",34,29.31,"T",NA,NA,17,0,0,"Male","Male","Unk",""
"18OO0081","feces","Sep2024","Pv18-0093","SPS","Commencement Bay","7","May","2018",2,1.72,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0082","feces","Sep2024","Pv18-0094","SPS","Commencement Bay","7","May","2018",11,9.48,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0083","feces","Sep2024","Pv18-0095","SPS","Commencement Bay","7","May","2018",15,12.93,"T",NA,NA,7,1,0,"Male","Male","Unk",""
"18OO0084","feces","Sep2024","Pv18-0096","SPS","Commencement Bay","7","May","2018",5,4.31,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0085","feces","Sep2024","Pv18-0097","SPS","Commencement Bay","7","May","2018",3,2.59,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0086","feces","Sep2024","Pv18-0098","SPS","Commencement Bay","7","May","2018",5,4.31,NA,NA,NA,0,1,1,NA,NA,"Unk",""
"18OO0087","feces","Sep2024","Pv18-0099","SPS","Commencement Bay","7","May","2018",4,3.45,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0088","feces","Sep2024","Pv18-0100","SPS","Commencement Bay","7","May","2018",22,18.97,"T",NA,NA,8,0,0,"Male","Male","Unk",""
"18OO0089","feces","Sep2024","Pv18-0101","SPS","Commencement Bay","7","May","2018",3,2.59,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0090","feces","Sep2024","Pv18-0102","SPS","Commencement Bay","7","May","2018",9,7.76,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0091","feces","Sep2024","Pv18-0103","SPS","Commencement Bay","7","May","2018",1,0.86,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0092","feces","Sep2024","Pv18-0104","SPS","Commencement Bay","7","May","2018",12,10.34,NA,NA,NA,1,2,0,NA,NA,"Unk",""
"18OO0093","feces","Sep2024","Pv18-0105","SPS","Commencement Bay","7","May","2018",17,14.66,NA,NA,NA,0,1,1,NA,NA,"Unk",""
"18OO0174","feces","Sep2024","Pv18-0186","SPS","Commencement Bay","18","May","2018",15,12.93,"T",NA,NA,3,1,1,"Male","Male","Unk",""
"18OO0175","feces","Sep2024","Pv18-0187","SPS","Commencement Bay","18","May","2018",7,6.03,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0176","feces","Sep2024","Pv18-0188","SPS","Commencement Bay","18","May","2018",7,6.03,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0177","feces","Sep2024","Pv18-0189","SPS","Commencement Bay","18","May","2018",0,0,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0178","feces","Sep2024","Pv18-0190","SPS","Commencement Bay","18","May","2018",9,7.76,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0179","feces","Sep2024","Pv18-0191","SPS","Commencement Bay","18","May","2018",6,5.17,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0180","feces","Sep2024","Pv18-0192","SPS","Commencement Bay","18","May","2018",9,7.76,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0181","feces","Sep2024","Pv18-0193","SPS","Commencement Bay","18","May","2018",0,0,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0182","feces","Sep2024","Pv18-0194","SPS","Commencement Bay","18","May","2018",22,18.97,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18OO0183","feces","Sep2024","Pv18-0195","SPS","Commencement Bay","18","May","2018",7,6.03,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0184","feces","Sep2024","Pv18-0196","SPS","Commencement Bay","18","May","2018",7,6.03,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0185","feces","Sep2024","Pv18-0197","SPS","Commencement Bay","18","May","2018",1,0.86,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0186","feces","Sep2024","Pv18-0198","SPS","Commencement Bay","18","May","2018",4,3.45,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0187","feces","Sep2024","Pv18-0199","SPS","Commencement Bay","18","May","2018",2,1.72,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0188","feces","Sep2024","Pv18-0200","SPS","Commencement Bay","18","May","2018",15,12.93,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0189","feces","Sep2024","Pv18-0201","SPS","Commencement Bay","18","May","2018",45,38.79,"T",NA,NA,10,0,1,"Male","Male","Unk",""
"18OO0190","feces","Sep2024","Pv18-0202","SPS","Commencement Bay","18","May","2018",8,6.9,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0191","feces","Sep2024","Pv18-0203","SPS","Commencement Bay","18","May","2018",4,3.45,"T",NA,NA,3,1,0,"Male","Male","Unk",""
"18OO0192","feces","Sep2024","Pv18-0204","SPS","Commencement Bay","18","May","2018",16,13.79,"T",NA,NA,4,1,0,"Male","Male","Unk",""
"18OO0193","feces","Sep2024","Pv18-0205","SPS","Commencement Bay","18","May","2018",1,0.86,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0194","feces","Sep2024","Pv18-0206","SPS","Commencement Bay","18","May","2018",8,6.9,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0195","feces","Sep2024","Pv18-0207","SPS","Commencement Bay","18","May","2018",6,5.17,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0196","feces","Sep2024","Pv18-0208","SPS","Commencement Bay","18","May","2018",6,5.17,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0197","feces","Sep2024","Pv18-0209","SPS","Commencement Bay","18","May","2018",14,12.07,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0198","feces","Sep2024","Pv18-0210","SPS","Commencement Bay","18","May","2018",26,22.41,"T",NA,NA,5,0,0,"Male","Male","Unk",""
"18OO0199","feces","Sep2024","Pv18-0211","SPS","Commencement Bay","18","May","2018",6,5.17,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18OO0200","feces","Sep2024","Pv18-0212","SPS","Commencement Bay","18","May","2018",6,5.17,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0201","feces","Sep2024","Pv18-0213","SPS","Commencement Bay","18","May","2018",3,2.59,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0202","feces","Sep2024","Pv18-0214","SPS","Commencement Bay","18","May","2018",88,75.86,"T","G","A",37,5,5,"Male","Male","Unk",""
"18OO0203","feces","Sep2024","Pv18-0215","SPS","Commencement Bay","18","May","2018",3,2.59,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0204","feces","Sep2024","Pv18-0216","SPS","Commencement Bay","18","May","2018",29,25,NA,NA,NA,2,0,1,NA,"Maybe_Male","Unk",""
"18OO0205","feces","Sep2024","Pv18-0217","SPS","Commencement Bay","18","May","2018",57,49.14,"T",NA,NA,23,1,0,"Male","Male","Unk",""
"18OO0206","feces","Sep2024","Pv18-0218","SPS","Commencement Bay","18","May","2018",2,1.72,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0207","feces","Sep2024","Pv18-0219","SPS","Commencement Bay","18","May","2018",5,4.31,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"18OO0228","feces","Sep2024","Pv18-0240","SPS","Commencement Bay","25","May","2018",10,8.62,"T","G",NA,3,3,0,"Male","Male","Unk",""
"18OO0229","feces","Sep2024","Pv18-0241","SPS","Commencement Bay","25","May","2018",98,84.48,"T","G","A",73,8,4,"Male","Male","Unk",""
"18OO0230","feces","Sep2024","Pv18-0242","SPS","Commencement Bay","25","May","2018",9,7.76,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0231","feces","Sep2024","Pv18-0243","SPS","Commencement Bay","25","May","2018",18,15.52,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"18OO0232","feces","Sep2024","Pv18-0244","SPS","Commencement Bay","25","May","2018",2,1.72,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0233","feces","Sep2024","Pv18-0245","SPS","Commencement Bay","25","May","2018",1,0.86,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0234","feces","Sep2024","Pv18-0246","SPS","Commencement Bay","25","May","2018",5,4.31,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0235","feces","Sep2024","Pv18-0247","SPS","Commencement Bay","25","May","2018",7,6.03,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0236","feces","Sep2024","Pv18-0248","SPS","Commencement Bay","25","May","2018",7,6.03,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0237","feces","Sep2024","Pv18-0249","SPS","Commencement Bay","25","May","2018",4,3.45,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0238","feces","Sep2024","Pv18-0250","SPS","Commencement Bay","25","May","2018",37,31.9,NA,"G",NA,0,3,0,"Female","Female","Unk",""
"18OO0239","feces","Sep2024","Pv18-0251","SPS","Commencement Bay","25","May","2018",4,3.45,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0240","feces","Sep2024","Pv18-0252","SPS","Commencement Bay","25","May","2018",4,3.45,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0241","feces","Sep2024","Pv18-0253","SPS","Commencement Bay","25","May","2018",7,6.03,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0242","feces","Sep2024","Pv18-0254","SPS","Commencement Bay","25","May","2018",5,4.31,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0243","feces","Sep2024","Pv18-0255","SPS","Commencement Bay","25","May","2018",2,1.72,NA,NA,NA,2,1,1,NA,"Maybe_Male","Unk",""
"18OO0244","feces","Sep2024","Pv18-0256","SPS","Commencement Bay","25","May","2018",1,0.86,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0245","feces","Sep2024","Pv18-0257","SPS","Commencement Bay","25","May","2018",9,7.76,"T",NA,NA,5,0,0,"Male","Male","Unk",""
"18OO0246","feces","Sep2024","Pv18-0258","SPS","Commencement Bay","25","May","2018",9,7.76,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0247","feces","Sep2024","Pv18-0259","SPS","Commencement Bay","25","May","2018",10,8.62,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0248","feces","Sep2024","Pv18-0260","SPS","Commencement Bay","25","May","2018",4,3.45,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0249","feces","Sep2024","Pv18-0261","SPS","Commencement Bay","25","May","2018",0,0,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0250","feces","Sep2024","Pv18-0262","SPS","Commencement Bay","25","May","2018",10,8.62,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0251","feces","Sep2024","Pv18-0263","SPS","Commencement Bay","25","May","2018",57,49.14,"T",NA,NA,9,2,0,"Male","Male","Unk",""
"18OO0252","feces","Sep2024","Pv18-0264","SPS","Commencement Bay","25","May","2018",6,5.17,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0253","feces","Sep2024","Pv18-0265","SPS","Commencement Bay","25","May","2018",11,9.48,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"18OO0254","feces","Sep2024","Pv18-0266","SPS","Commencement Bay","25","May","2018",10,8.62,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18OO0255","feces","Sep2024","Pv18-0267","SPS","Commencement Bay","25","May","2018",5,4.31,"T",NA,NA,7,0,1,"Male","Male","Unk",""
"18OO0256","feces","Sep2024","Pv18-0268","SPS","Commencement Bay","25","May","2018",3,2.59,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0257","feces","Sep2024","Pv18-0269","SPS","Commencement Bay","25","May","2018",7,6.03,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0258","feces","Sep2024","Pv18-0270","SPS","Commencement Bay","25","May","2018",26,22.41,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0259","feces","Sep2024","Pv18-0271","SPS","Commencement Bay","25","May","2018",8,6.9,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0260","feces","Sep2024","Pv18-0272","SPS","Commencement Bay","25","May","2018",6,5.17,"T",NA,NA,3,1,2,"Male","Male","Unk",""
"18OO0261","feces","Sep2024","Pv18-0273","SPS","Commencement Bay","25","May","2018",8,6.9,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0262","feces","Sep2024","Pv18-0274","SPS","Commencement Bay","25","May","2018",14,12.07,"T",NA,NA,5,0,2,"Male","Male","Unk",""
"18OO0263","feces","Sep2024","Pv18-0275","SPS","Commencement Bay","25","May","2018",12,10.34,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0264","feces","Sep2024","Pv18-0276","SPS","Commencement Bay","25","May","2018",8,6.9,"T",NA,NA,5,0,0,"Male","Male","Unk",""
"18OO0265","feces","Sep2024","Pv18-0277","SPS","Commencement Bay","25","May","2018",8,6.9,"T",NA,NA,4,0,0,"Male","Male","Unk",""
"18OO0266","feces","Sep2024","Pv18-0278","SPS","Commencement Bay","25","May","2018",0,0,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0267","feces","Sep2024","Pv18-0279","SPS","Commencement Bay","25","May","2018",43,37.07,NA,NA,NA,2,1,0,NA,"Maybe_Male","Unk",""
"18OO0268","feces","Sep2024","Pv18-0280","SPS","Commencement Bay","25","May","2018",67,57.76,"T","G","A",11,3,4,"Male","Male","Unk",""
"18OO0284","feces","Sep2024","Pv18-0296","SPS","Commencement Bay","1","Jun","2018",2,1.72,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0285","feces","Sep2024","Pv18-0297","SPS","Commencement Bay","1","Jun","2018",3,2.59,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0287","feces","Sep2024","Pv18-0299","SPS","Commencement Bay","1","Jun","2018",8,6.9,NA,NA,NA,2,1,0,NA,"Maybe_Male","Unk",""
"18OO0289","feces","Sep2024","Pv18-0301","SPS","Commencement Bay","1","Jun","2018",1,0.86,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0290","feces","Sep2024","Pv18-0302","SPS","Commencement Bay","1","Jun","2018",2,1.72,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0291","feces","Sep2024","Pv18-0303","SPS","Commencement Bay","1","Jun","2018",1,0.86,NA,NA,NA,0,0,1,NA,NA,"Unk",""
"18OO0293","feces","Sep2024","Pv18-0305","SPS","Commencement Bay","1","Jun","2018",9,7.76,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0294","feces","Sep2024","Pv18-0306","SPS","Commencement Bay","1","Jun","2018",6,5.17,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0295","feces","Sep2024","Pv18-0307","SPS","Commencement Bay","1","Jun","2018",4,3.45,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"18OO0296","feces","Sep2024","Pv18-0308","SPS","Commencement Bay","1","Jun","2018",53,45.69,"T",NA,NA,9,0,1,"Male","Male","Unk",""
"18OO0297","feces","Sep2024","Pv18-0309","SPS","Commencement Bay","1","Jun","2018",2,1.72,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0299","feces","Sep2024","Pv18-0311","SPS","Commencement Bay","1","Jun","2018",6,5.17,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0300","feces","Sep2024","Pv18-0312","SPS","Commencement Bay","1","Jun","2018",4,3.45,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0302","feces","Sep2024","Pv18-0314","SPS","Commencement Bay","1","Jun","2018",2,1.72,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0304","feces","Sep2024","Pv18-0316","SPS","Commencement Bay","1","Jun","2018",17,14.66,NA,NA,NA,2,1,0,NA,"Maybe_Male","Unk",""
"18OO0305","feces","Sep2024","Pv18-0317","SPS","Commencement Bay","1","Jun","2018",3,2.59,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0307","feces","Sep2024","Pv18-0319","SPS","Commencement Bay","1","Jun","2018",5,4.31,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0309","feces","Sep2024","Pv18-0321","SPS","Commencement Bay","1","Jun","2018",6,5.17,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0310","feces","Sep2024","Pv18-0322","SPS","Commencement Bay","1","Jun","2018",5,4.31,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0417","feces","Sep2024","Pv18-0465","SPS","Commencement Bay","15","Jun","2018",91,78.45,"T","G","A",48,4,5,"Male","Male","Unk",""
"18OO0418","feces","Sep2024","Pv18-0466","SPS","Commencement Bay","15","Jun","2018",4,3.45,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0419","feces","Sep2024","Pv18-0467","SPS","Commencement Bay","15","Jun","2018",5,4.31,"T",NA,NA,5,1,0,"Male","Male","Unk",""
"18OO0420","feces","Sep2024","Pv18-0469","SPS","Commencement Bay","15","Jun","2018",9,7.76,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0421","feces","Sep2024","Pv18-0470","SPS","Commencement Bay","15","Jun","2018",91,78.45,"T","G",NA,48,4,0,"Male","Male","Unk",""
"18OO0422","feces","Sep2024","Pv18-0472","SPS","Commencement Bay","15","Jun","2018",24,20.69,"T",NA,NA,5,1,0,"Male","Male","Unk",""
"18OO0423","feces","Sep2024","Pv18-0473","SPS","Commencement Bay","15","Jun","2018",0,0,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0424","feces","Sep2024","Pv18-0475","SPS","Commencement Bay","15","Jun","2018",10,8.62,NA,NA,NA,0,0,0,NA,NA,"Unk",""
